year,month,region_code,region_name,npd_total,npd_physical,npd_ie
2021,6,78,г.Санкт-Петербург,180255,170820,9435
2021,6,83,Ненецкий автономный округ,598,563,35
2021,6,01,Республика Адыгея (Адыгея),3982,3778,204
2021,6,08,Республика Калмыкия,1629,1459,170
2021,6,23,Краснодарский край,92017,85208,6809
2021,6,30,Астраханская область,11007,10289,718
2021,6,34,Волгоградская область,35328,33236,2092
2021,6,61,Ростовская область,66511,61922,4589
2021,6,91,Республика Крым,23284,21674,1610
2021,6,92,г.Севастополь,5066,4671,395
2021,6,05,Республика Дагестан,9213,8745,468
2021,6,06,Республика Ингушетия,816,782,34
2021,6,07,Кабардино-Балкарская Республика,4957,4728,229
2021,6,09,Карачаево-Черкесская Республика,1773,1689,84
2021,6,15,Республика Северная Осетия - Алания,4257,4112,145
2021,6,20,Чеченская Республика,4842,4643,199
2021,6,26,Ставропольский край,24810,22749,2061
2021,6,02,Республика Башкортостан,51419,48184,3235
2021,6,12,Республика Марий Эл,4940,4640,300
2021,6,13,Республика Мордовия,5382,4990,392
2021,6,16,Республика Татарстан (Татарстан),130777,125392,5385
2021,6,18,Удмуртская Республика,16913,16053,860
2021,6,21,Чувашская Республика - Чувашия,12460,11724,736
2021,6,43,Кировская область,11316,10382,934
2021,6,52,Нижегородская область,48586,45841,2745
2021,6,56,Оренбургская область,18954,18006,948
2021,6,58,Пензенская область,10769,9784,985
2021,6,59,Пермский край,40378,38304,2074
2021,6,63,Самарская область,62866,59511,3355
2021,6,64,Саратовская область,22621,21629,992
2021,6,73,Ульяновская область,11902,11139,763
2021,6,45,Курганская область,7443,6860,583
2021,6,66,Свердловская область,75632,71211,4421
2021,6,72,Тюменская область,29109,27347,1762
2021,6,74,Челябинская область,48313,45558,2755
2021,6,86,Ханты-Мансийский автономный округ - Югра,22711,21181,1530
2021,6,89,Ямало-Ненецкий автономный округ,5903,5540,363
2021,6,04,Республика Алтай,2432,2188,244
2021,6,17,Республика Тыва,2723,2562,161
2021,6,19,Республика Хакасия,4139,3837,302
2021,6,22,Алтайский край,20063,18678,1385
2021,6,24,Красноярский край,40321,37628,2693
2021,6,38,Иркутская область,24655,23220,1435
2021,6,42,Кемеровская область,22613,20943,1670
2021,6,54,Новосибирская область,54380,51430,2950
2021,6,55,Омская область,28288,26716,1572
2021,6,70,Томская область,12595,11640,955
2021,6,03,Республика Бурятия,6578,6054,524
2021,6,14,Республика Саха (Якутия),10089,9048,1041
2021,6,25,Приморский край,19763,18009,1754
2021,6,27,Хабаровский край,15030,14029,1001
2021,6,28,Амурская область,6207,5712,495
2021,6,41,Камчатский край,2405,2161,244
2021,6,49,Магаданская область,1480,1341,139
2021,6,65,Сахалинская область,6171,5726,445
2021,6,75,Забайкальский край,5048,4680,368
2021,6,79,Еврейская автономная область,1068,972,96
2021,6,87,Чукотский автономный округ,246,211,35
2021,7,00,Российская Федерация,2778523,2603958,174565
2021,7,31,Белгородская область,17042,15318,1724
2021,7,32,Брянская область,10822,10081,741
2021,7,33,Владимирская область,13991,12884,1107
2021,7,36,Воронежская область,34877,33451,1426
2021,7,37,Ивановская область,8912,8261,651
2021,7,40,Калужская область,22736,21262,1474
2021,7,44,Костромская область,5192,4686,506
2021,7,46,Курская область,9044,8442,602
2021,7,48,Липецкая область,11949,11192,757
2021,7,50,Московская область,248287,228809,19478
2021,7,57,Орловская область,7961,7344,617
2021,7,62,Рязанская область,11121,10511,610
2021,7,67,Смоленская область,7797,7331,466
2021,7,68,Тамбовская область,6605,6092,513
2021,7,69,Тверская область,13183,12387,796
2021,7,71,Тульская область,14259,13155,1104
2021,7,76,Ярославская область,15156,14346,810
2021,7,77,г.Москва,683949,639495,44454
2021,7,10,Республика Карелия,8646,7823,823
2021,7,11,Республика Коми,7699,7016,683
2021,7,29,Архангельская область,8394,7636,758
2021,7,35,Вологодская область,10539,9745,794
2021,7,39,Калининградская область,19206,18218,988
2021,7,47,Ленинградская область,33931,31331,2600
2021,7,51,Мурманская область,8091,7411,680
2021,7,53,Новгородская область,6065,5410,655
2021,7,60,Псковская область,6147,5600,547
